,pmcid,part,tokens,term_frequency
0,PMC10000348,background,always,1
1,PMC10000348,background,likely,1
2,PMC10000348,background,often,2
3,PMC10000348,method,likely,1
4,PMC10000348,method,often,2
5,PMC10003409,analysis,frequently,1
6,PMC10003409,analysis,probability,1
7,PMC10003409,discussion,likely,1
8,PMC10003409,discussion,often,2
9,PMC10003409,introduction,often,1
10,PMC10003409,method,probability,1
11,PMC10006459,conclusion,frequently,3
12,PMC10006459,introduction,frequently,1
13,PMC10006459,result,often,1
14,PMC2275256,abstract,usually,1
15,PMC2275256,background,likely,1
16,PMC2275256,background,often,2
17,PMC2275256,background,probably,1
18,PMC2275256,background,usually,1
19,PMC2275256,conclusion,rarely,1
20,PMC2275256,discussion,frequently,1
21,PMC2275256,discussion,likely,5
22,PMC2275256,discussion,probably,1
23,PMC2275256,discussion,usually,2
24,PMC2275256,method,never,1
25,PMC2275256,method,often,1
26,PMC2775115,conclusion,likely,1
27,PMC2775115,discussion,certainly,1
28,PMC2775115,discussion,frequently,2
29,PMC2775115,discussion,likely,5
30,PMC2775115,discussion,often,7
31,PMC2775115,future,frequently,1
32,PMC2775115,future,likely,1
33,PMC2775115,introduction,often,1
34,PMC2775115,‘Why’ Consider Developmental Factors when Designing and Delivering CBT for Anxious Adolescents?Age and Developmental Level May Moderate Treatment Outcome,frequently,1
35,PMC2775115,‘Why’ Consider Developmental Factors when Designing and Delivering CBT for Anxious Adolescents?Age and Developmental Level May Moderate Treatment Outcome,likely,1
36,PMC2775115,‘Why’ Consider Developmental Factors when Designing and Delivering CBT for Anxious Adolescents?Age and Developmental Level May Moderate Treatment Outcome,never,1
37,PMC2775115,‘Why’ Consider Developmental Factors when Designing and Delivering CBT for Anxious Adolescents?Age and Developmental Level May Moderate Treatment Outcome,often,3
38,PMC2817080,abstract,likely,3
39,PMC2817080,abstract,often,1
40,PMC2817080,discussion,likely,3
41,PMC2817080,discussion,often,3
42,PMC2817080,result,frequently,1
43,PMC2952769,abstract,frequently,1
44,PMC2952769,discussion,likely,1
45,PMC2952769,discussion,often,1
46,PMC2952769,discussion,possibly,3
47,PMC2952769,discussion,probably,1
48,PMC2952769,introduction,often,1
49,PMC2952769,introduction,probably,1
50,PMC2952769,method,often,1
51,PMC3117685,background,always,1
52,PMC3117685,background,frequently,4
53,PMC3117685,background,often,5
54,PMC3117685,background,usually,1
55,PMC3117685,discussion,probability,1
56,PMC3117685,method,frequently,2
57,PMC3117685,method,never,1
58,PMC3117685,method,often,2
59,PMC3117685,method,rarely,1
60,PMC3117685,result,probability,1
61,PMC3163991,analysis,probability,1
62,PMC3163991,discussion,likely,3
63,PMC3163991,discussion,often,1
64,PMC3163991,introduction,frequently,1
65,PMC3163991,introduction,likely,1
66,PMC3163991,introduction,rarely,1
67,PMC3163991,introduction,unlikely,1
68,PMC3163991,method,always,1
69,PMC3163991,method,likely,1
70,PMC3163991,method,probability,2
71,PMC3187755,discussion,likely,1
72,PMC3187755,introduction,usually,2
73,PMC3187755,method,never,1
74,PMC3208932,abstract,probably,1
75,PMC3208932,discussion,probability,1
76,PMC3208932,discussion,probably,1
77,PMC3208932,method,probability,1
78,PMC3218775,Functional neuroimaging of simultaneous and successive processes,often,2
79,PMC3218775,Functional neuroimaging of simultaneous and successive processes,usually,2
80,PMC3218775,Simultaneous processing,frequently,1
81,PMC3218775,Simultaneous processing,likely,1
82,PMC3218775,Simultaneous processing,usually,1
83,PMC3218775,conclusion,likely,2
84,PMC3218775,conclusion,possibly,1
85,PMC3218775,conclusion,rarely,1
86,PMC3218775,footnote,likely,1
87,PMC3218775,introduction,likely,1
88,PMC3218775,method,often,1
89,PMC3218775,result,usually,1
90,PMC3324779,Purpose,always,2
91,PMC3324779,Purpose,likely,1
92,PMC3324779,Reliability,always,4
93,PMC3324779,Reliability,certainly,1
94,PMC3324779,Reliability,likely,1
95,PMC3324779,Reliability,possibly,1
96,PMC3324779,Reliability,probability,1
97,PMC3324779,Reliability,probably,1
98,PMC3324779,abstract,always,2
99,PMC3324779,abstract,frequently,1
100,PMC3324779,abstract,often,1
101,PMC3324779,analysis,likely,3
102,PMC3324779,analysis,never,1
103,PMC3324779,analysis,possibly,1
104,PMC3324779,analysis,probably,1
105,PMC3324779,conclusion,always,1
106,PMC3324779,conclusion,likely,1
107,PMC3361327,3. Theories of Emotional Competence,likely,2
108,PMC3361327,4. Assessment of Emotional Competence,frequently,1
109,PMC3361327,5. Possible Antecedents of Emotional Competence,usually,1
110,PMC3361327,6. Emotional Competence and Adolescent Developmental Outcomes,likely,2
111,PMC3361327,7. Promotions of Emotional Competence among Adolescents,usually,1
112,PMC3361327,background,likely,1
113,PMC3408109,Proposed Directions,frequently,1
114,PMC3408109,Proposed Directions,likely,1
115,PMC3408109,Proposed Directions,often,3
116,PMC3408109,abstract,often,1
117,PMC3432349,introduction,always,3
118,PMC3432349,introduction,certainly,2
119,PMC3432349,introduction,frequently,1
120,PMC3432349,introduction,often,1
121,PMC3432349,introduction,probably,2
122,PMC3432349,introduction,rarely,1
123,PMC3432349,introduction,usually,2
124,PMC3514708,abstract,often,1
125,PMC3514708,discussion,always,2
126,PMC3514708,discussion,often,4
127,PMC3538356,Candidate Genes,always,2
128,PMC3538356,Candidate Genes,frequently,2
129,PMC3538356,Candidate Genes,often,2
130,PMC3538356,Complex Phenotype of Specific Reading Disabilities,frequently,1
131,PMC3538356,Complex Phenotype of Specific Reading Disabilities,likely,1
132,PMC3538356,Complex Phenotype of Specific Reading Disabilities,often,3
133,PMC3538356,Genetic Influences on Specific Learning Disabilities,always,1
134,PMC3538356,Genetic Influences on Specific Learning Disabilities,likely,1
135,PMC3538356,Genetic Influences on Specific Learning Disabilities,often,1
136,PMC3538356,Genetic Influences on Specific Learning Disabilities,usually,2
137,PMC3538356,Glossary of Genetic Terms,frequently,2
138,PMC3538356,Glossary of Genetic Terms,often,1
139,PMC3538356,Glossary of Genetic Terms,usually,2
140,PMC3538356,Other Developmental Disorders with Features that Overlap with Dyslexia,frequently,3
141,PMC3538356,Other Developmental Disorders with Features that Overlap with Dyslexia,likely,1
142,PMC3538356,Other Developmental Disorders with Features that Overlap with Dyslexia,often,1
143,PMC3538356,Other Developmental Disorders with Features that Overlap with Dyslexia,probably,1
144,PMC3538356,Other Developmental Disorders with Features that Overlap with Dyslexia,unlikely,1
145,PMC3538356,Relationships between Candidate Genes and Brain Structure,frequently,1
146,PMC3538356,Relationships between Candidate Genes and Brain Structure,often,1
147,PMC3538356,Relationships between Candidate Genes and Brain Structure,probably,1
148,PMC3590296,discussion,likely,2
149,PMC3590296,discussion,possibly,1
150,PMC3590296,introduction,frequently,1
151,PMC3590296,introduction,likely,1
152,PMC3590296,method,always,1
153,PMC3590296,method,often,2
154,PMC3633798,discussion,frequently,1
155,PMC3633798,discussion,likely,2
156,PMC3633798,discussion,probably,1
157,PMC3633798,method,always,9
158,PMC3633798,method,never,9
159,PMC3633798,result,probably,2
160,PMC3691503,,likely,1
161,PMC3691503,,never,1
162,PMC3691503,,often,2
163,PMC3691503,,probability,1
164,PMC3691503,,probably,1
165,PMC3691503,,rarely,3
166,PMC3691503,,usually,3
167,PMC3715481,introduction,often,1
168,PMC3715481,method,likely,1
169,PMC3715481,method,never,1
170,PMC3715481,method,often,2
171,PMC3715481,result,never,1
172,PMC3740239,A survival guide to simpson's paradox,always,5
173,PMC3740239,A survival guide to simpson's paradox,likely,7
